label,sentence_id,string,npsub0,npsub1,npsub2,npsub3,npsub4,npsub5,npsub6,npsub7,npsub8,npsub9,npsub10,npsub11,npsub12,npsub13,npsub14,npsub15,npdo0,npdo1,npdo2,npdo3,npdo4,npdo5,npdo6,npdo7,npdo8,npdo9,npdo10,npdo11,npdo12,npdo13,npdo14,npdo15,npother0,npother1,npother2,npother3,npother4,npother5,npother6,npother7,npother8,npother9,npother10,npother11,npother12,npother13,npother14,npother15,vp0,vp1,vp2,vp3,vp4,vp5,vp6,vp7,vp8,vp9,vp10,vp11,vp12,vp13,vp14,vp15,vp16,vp17,vp18,vp19,vp20,snw_n,swn_v,swn_a,swn_r,timex
5,0,GENOA__February_19th_.,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,GENOA__February_19th_.,0,none,none,genoa,NNP,proper,sg,3,O,O,O,O,08808452-N,0,noun.location,O,O,O,O,-1,0,O,O,0,O,O,O,-1,O,-1,O,O,O,O,O,O,0.0,0.0,0.0,0.0,YES
6,1,Your_most_interesting_letter__Sir_Philosopher__reached_me_at_Gibraltar_,Your_most_interesting_letter__Sir_Philosopher_,0,Y,def,letter,NN,common,sg,3,06624161-N,06387980-N,06365467-N,06362953-N,00001740-N,7,noun.communication,me,0,NO-NOUN,none,me,PRP,pronoun,sg,1,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,reached,none,none,reach,0,0,VBD,02020590-V,0,verb.motion,past,reach,0,VBD,0,sim_past,active,O,O,O,O,0.0,0.043269230769230775,0.11166253101736975,0.0,NO
1,1,and_served,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,served,none,none,serve,0,0,VBD,02664769-V,5,verb.stative,past,serve,0,VBD,0,sim_past,active,02670890-V,02667900-V,02669789-V,02671880-V,0.0,0.45312500000000006,0.0,0.0,NO
2,1,to_give_me_a_homelike_feeling_in_that_alien_land_of_Spain_.,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,a_homelike_feeling_in_that_alien_land_of_Spain,0,N,indef,feel,NN,common,sg,3,05677340-N,05675905-N,05804793-N,05770664-N,00001740-N,8,noun.cognition,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,give,none,none,give,0,0,VB,02316868-V,0,verb.possession,none,give,0,VB,0,infinitif,active,O,O,O,O,0.3571428571428572,0.043269230769230775,0.32009925558312663,0.0,NO
6,2,Any_one_who_can_write_letters_as_interesting_as_yours__from_your_library__with_the_mercury_at_zero_outside__and_nothing_more_refreshing_to_look_upon_from_the_window_than_snow_and_sleet__does_not_need,Any_one,0,Y,indef,one,NN,common,sg,3,13742573-N,13741022-N,13728499-N,13582013-N,00001740-N,7,noun.quantity,letters_as_interesting,1,Y,none,letter,NNS,common,pl,3,06624161-N,06387980-N,06365467-N,06362953-N,00001740-N,7,noun.communication,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,write,none,none,write,0,0,VB,01617192-V,2,verb.creation,none,write,0,VB,0,cond,active,01698271-V,O,01697816-V,O,0.06785714285714287,0.04140625,0.038709677419354854,-0.029032258064516123,NO
6,2,to_wander_in_sunny_lands_and_among_ancient_ruins_for_an_inspiration_.,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,an_inspiration,0,Y,indef,inspiration,NN,common,sg,3,05834567-N,05833840-N,05809192-N,00023271-N,00001740-N,6,noun.cognition,wander,none,none,wander,0,0,VB,01835496-V,1,verb.motion,none,wander,0,VB,0,infinitif,active,01881180-V,O,O,O,0.5714285714285715,0.043269230769230775,0.32009925558312663,0.0,NO
6,3,No__travel_would_be_absolutely_wasted_upon_you_,travel,0,Y,none,travel,NN,common,sg,3,00295701-N,00279835-N,00191142-N,00037396-N,00001740-N,8,noun.act,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,wasted,positive,absolutely,waste,0,1,VBN,01158572-V,1,verb.possession,none,waste,0,VBN,0,cond,passive,02268351-V,O,O,O,0.0,0.1625,0.0,0.1741935483870968,NO
6,3,who_require_only_a_cigar_and_a_wood_fire,only_a_cigar_and_a_wood_fire,0,Y,indef,cigar,NN,common,sg,3,03030035-N,04103491-N,04442831-N,14991927-N,00001740-N,9,noun.artifact,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,require,none,none,require,0,0,VBP,02627934-V,0,verb.stative,present,require,0,VBP,0,pres,active,O,O,O,O,0.2380952380952381,0.07638888888888888,0.0,0.20430107526881722,NO
6,3,"to_encourage_your_""_reveries_of_a_bachelor_._""",O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,"your_""_reveries_of_a_bachelor",0,Y,def,reverie,NN,common,sg,3,05769471-N,05768806-N,05625465-N,05624700-N,00001740-N,8,noun.cognition,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,encourage,none,none,encourage,0,0,VB,02556126-V,1,verb.social,none,encourage,0,VB,0,infinitif,active,02554922-V,O,O,O,0.20714285714285718,0.065625,0.0,0.0,NO
6,4,You_wish,You,0,NO-NOUN,none,you,PRP,pronoun,unknown,2,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,wish,none,none,wish,0,0,VBP,01825237-V,1,verb.emotion,present,wish,0,VBP,0,pres,active,01824339-V,O,O,O,0.0,0.45312500000000006,0.0,0.0,NO
